y_norm,u_x,u_y
0.901515,0.343437,0.051148
0.903409,0.347143,0.0502021
0.905303,0.351035,0.0492331
0.907197,0.355128,0.0482411
0.909091,0.359433,0.0472259
0.910985,0.363965,0.0461878
0.912879,0.368736,0.0451268
0.914773,0.373762,0.0440432
0.916667,0.379057,0.0429374
0.918561,0.384635,0.0418097
0.920455,0.390511,0.0406609
0.922348,0.3967,0.0394914
0.924242,0.403217,0.0383022
0.926136,0.410079,0.0370941
0.92803,0.417298,0.0358682
0.929924,0.424892,0.0346258
0.931818,0.432873,0.0333681
0.933712,0.441257,0.0320967
0.935606,0.450057,0.0308133
0.9375,0.459287,0.0295197
0.939394,0.468959,0.0282178
0.941288,0.479085,0.0269099
0.943182,0.489676,0.0255983
0.945076,0.500741,0.0242854
0.94697,0.512289,0.022974
0.948864,0.524327,0.0216667
0.950758,0.536861,0.0203667
0.952652,0.549894,0.019077
0.954545,0.563429,0.0178008
0.956439,0.577465,0.0165415
0.958333,0.592,0.0153027
0.960227,0.60703,0.0140878
0.962121,0.622547,0.0129005
0.964015,0.638543,0.0117446
0.965909,0.655006,0.0106237
0.967803,0.671919,0.00954173
0.969697,0.689266,0.00850225
0.971591,0.707026,0.00750899
0.973485,0.725174,0.00656551
0.975379,0.743684,0.00567527
0.977273,0.762527,0.00484154
0.979167,0.781669,0.0040674
0.981061,0.801075,0.00335566
0.982955,0.820705,0.00270881
0.984848,0.84052,0.00212901
0.986742,0.860474,0.00161799
0.988636,0.880522,0.00117702
0.99053,0.900616,0.000806856
0.992424,0.920706,0.000507655
0.994318,0.940742,0.00027894
0.996212,0.96067,0.000119529
0.998106,0.980443,2.74756e-05
1,1,-1.20492e-16
