x_norm,u_x,u_y
0.820076,-0.198119,-0.40395
0.82197,-0.197931,-0.406839
0.823864,-0.19768,-0.409644
0.825758,-0.197365,-0.412359
0.827652,-0.196984,-0.41498
0.829545,-0.196535,-0.417499
0.831439,-0.196016,-0.419911
0.833333,-0.195425,-0.422211
0.835227,-0.194761,-0.424392
0.837121,-0.194022,-0.426449
0.839015,-0.193206,-0.428374
0.840909,-0.192312,-0.430163
0.842803,-0.191339,-0.431809
0.844697,-0.190285,-0.433306
0.846591,-0.18915,-0.434648
0.848485,-0.187932,-0.435828
0.850379,-0.18663,-0.436842
0.852273,-0.185244,-0.437683
0.854167,-0.183773,-0.438346
0.856061,-0.182217,-0.438825
0.857955,-0.180575,-0.439114
0.859848,-0.178848,-0.439209
0.861742,-0.177035,-0.439104
0.863636,-0.175136,-0.438794
0.86553,-0.173153,-0.438275
0.867424,-0.171085,-0.437542
0.869318,-0.168933,-0.436592
0.871212,-0.166699,-0.43542
0.873106,-0.164384,-0.434024
0.875,-0.161988,-0.432399
0.876894,-0.159515,-0.430544
0.878788,-0.156965,-0.428455
0.880682,-0.15434,-0.426131
0.882576,-0.151642,-0.423571
0.88447,-0.148875,-0.420772
0.886364,-0.14604,-0.417734
0.888258,-0.143141,-0.414457
0.890152,-0.14018,-0.410941
0.892045,-0.13716,-0.407187
0.893939,-0.134086,-0.403196
0.895833,-0.130959,-0.398968
0.897727,-0.127784,-0.394507
0.899621,-0.124565,-0.389815
0.901515,-0.121306,-0.384894
0.903409,-0.11801,-0.379749
0.905303,-0.114682,-0.374382
0.907197,-0.111326,-0.3688
0.909091,-0.107947,-0.363006
0.910985,-0.104549,-0.357006
0.912879,-0.101136,-0.350805
0.914773,-0.0977142,-0.344411
0.916667,-0.094287,-0.337829
0.918561,-0.0908594,-0.331067
0.920455,-0.0874363,-0.324131
0.922348,-0.0840225,-0.317031
0.924242,-0.0806226,-0.309774
0.926136,-0.0772414,-0.302369
0.92803,-0.0738838,-0.294824
0.929924,-0.0705543,-0.287148
0.931818,-0.0672576,-0.279351
0.933712,-0.0639984,-0.271442
0.935606,-0.060781,-0.263432
0.9375,-0.05761,-0.255329
0.939394,-0.0544896,-0.247145
0.941288,-0.0514241,-0.238888
0.943182,-0.0484176,-0.23057
0.945076,-0.045474,-0.222202
0.94697,-0.0425973,-0.213792
0.948864,-0.0397911,-0.205352
0.950758,-0.0370591,-0.196891
0.952652,-0.0344045,-0.188421
0.954545,-0.0318307,-0.179952
0.956439,-0.0293409,-0.171493
0.958333,-0.0269378,-0.163055
0.960227,-0.0246244,-0.154647
0.962121,-0.0224032,-0.14628
0.964015,-0.0202767,-0.137962
0.965909,-0.0182472,-0.129703
0.967803,-0.0163167,-0.121513
0.969697,-0.0144873,-0.113399
0.971591,-0.0127607,-0.105371
0.973485,-0.0111386,-0.0974358
0.975379,-0.00962244,-0.0896028
0.977273,-0.00821358,-0.0818789
0.979167,-0.00691324,-0.0742717
0.981061,-0.00572248,-0.0667879
0.982955,-0.00464225,-0.0594341
0.984848,-0.00367338,-0.0522167
0.986742,-0.00281659,-0.0451414
0.988636,-0.00207251,-0.0382136
0.99053,-0.00144166,-0.0314385
0.992424,-0.000924518,-0.0248207
0.994318,-0.000521463,-0.0183643
0.996212,-0.000232833,-0.0120732
0.998106,-5.89239e-05,-0.00595069
1,-1.20458e-16,-1.20458e-16
